Formal + pure 	Informal + Impure	Formal + Impure	Informal + pure
ಸಂಚಾರ ಜಾಸ್ತಿ ಇದೆ 	ಟ್ರಾಫಿಕ್ ತುಂಬಾ ಜಾಸ್ತಿ ಇದೆ	ಟ್ರಾಫಿಕ್ ತುಂಬಾ ಹೆಚ್ಚಾಗಿದೆ ಇವತ್ತು 	ಸಂಚಾರ ತುಂಬಾ ಜಾಸ್ತಿ ಇದೆ 
ವಾಹನವನ್ನು ಸರಿಯಾಗಿ ಓಡಿಸಿ 	"ಲೋ ಗುರು, ನೆಟ್ಟಗೆ ವಾಹನವನ್ನು ಡ್ರೈವ್ ಮಾಡು"	ಸರಿಯಾಗಿ ವಾಹನವನ್ನು ಡ್ರೈವ್ ಮಾಡಿ 	ವಾಹನವನ್ನು ಸರಿಯಾಗಿ ಓಡಿಸು 
ನಡಾಲ್ ನ ಮುಂಗಯ್ ಹೊಡೆತ ಚೆನ್ನಾಗಿದೆ 	ನಡಾಲ್ ಫೋರ್ಹ್ಯಾಂಡ್ ಹೊಡೆತ ಸಕ್ಕತ್ತಾಗಿ ಇದೆ	ನಡಾಲ್ ಫೋರ್ಹ್ಯಾಂಡ್ ಹೊಡೆತ ಚೆನ್ನಾಗಿದೆ 	ನಡಾಲ್ ನ ಮುಂಗಯ್ ಹೊಡೆತ ಸಕ್ಕತ್ತಾಗಿ ಇದೆ
ಚಿನ್ನಿ ದಾಂಡು ಆಡೋಣ ಬನ್ನಿ 	ಮಗಾ ಕ್ರಿಕೆಟ್ ಆಡನಾ ಬಾ.	ನಮಸ್ತೆ ಕ್ರಿಕೆಟ್ ಆಡೋಣ ಬನ್ನಿ 	ಮಗ ಚಿನ್ನಿ  ದಾಂಡು ಆಡೋಣ ಬಾ 
ಉದ್ಯಾನವನದಲ್ಲಿ ನಡಿಯೋಕ್ಕೆ ಹೋಗಣ ಬನ್ನಿ 	ಪಾರ್ಕ್ ಅಲ್ಲಿ ವಾಕಿಂಗ್ ಮಾಡಕ್ಕೆ ಹೋಗಣ ಬಾ	ಪಾರ್ಕ್ ಅಲ್ಲಿ ವಾಕಿಂಗ್ ಮಾಡಕ್ಕೆ ಹೋಗಣ ಬನ್ನಿ 	ಉದ್ಯಾನವನದಲ್ಲಿ ನಡಿಯೋಕ್ಕೆ ಹೋಗಣ ಬಾ 
ಪ್ರಾಂಶುಪಾಲರು ನಿಮ್ಮನು  ಕೇಳುತ್ತ ಇದ್ದರು 	ಪ್ರಿನ್ಸಿಪಲ್ ನಿನ್ನುನ್ನ ಕೇಳ್ತಾ ಇದ್ರು	ಪ್ರಿನ್ಸಿಪಾಲರು ನಿಮ್ಮನ ಕೇಳುತ್ತಿದ್ದರು 	ಪ್ರಾಂಶುಪಾಲರು ನಿನನ್ನು ಕೇಳುತ್ತ ಇದ್ದರು 
ನಿಮ್ಮ  ನುಡಿಗಳ್ಳನ್ನು ಕೇಳಿ ಜನ ಸಂತೋಷವಾಗಿದ್ದರು 	ನಿನ್ನ ಸ್ಪೀಚ್ ಕೇಳಿ ಎಲ್ಲರೂ ಫಿದಾಗಿದ್ದಾರೆ	ನಿಮ್ಮ ಸ್ಪೀಚ್ ಕೇಳಿ ಎಲ್ಲರೂ ಖುಷಿಯಾಗಿದ್ದರು 	ನಿನ್ನ ನುಡಿಗಳ್ಳನ್ನು ಕೇಳಿ ಜನ ಸಂತೋಷವಾಗಿದ್ದರು 
ನೀವು  ವಾಹನವನ್ನು ತುಂಬಾ ತೇಜವಾಗಿ ಓಡಿಸುತ್ತೀಯಾ 	ನೀನು ಕಾರ್ ಅನ್ನು ತುಂಬಾ ಫಾಸ್ಟ್ ಆಗಿ ಓಡುಸ್ತ್ಯ	ನೀವು ಕಾರನ್ನು ತುಂಬಾ ವೇಗವಾಗಿ ಓಡುಸುತ್ತೀರಾ 	ನೀನು ವಾಹನವನ್ನು ತುಂಬಾ ತೇಜವಾಗಿ ಓಡಿಸುತ್ತೀಯಾ 
ನಿಮ್ಮ  ದ್ವಿಚಕ್ರ ವಾಹನ ಓಡಿಸುವ ಮಜಾನೇ ಬೇರೆ 	ನಿನ್ನ ಬೈಕ್ ಓಡ್ಸೋ ಮಜಾನೆ ಬೇರೆ	ನಿಮ್ಮ ಬೈಕ್ ಓಡಿಸುವ ಮಜಾನೇ ಬೇರೆ 	ನಿನ್ನ ದ್ವಿಚಕ್ರ ವಾಹನ ಓಡಿಸುವ ಮಜಾನೇ ಬೇರೆ 
ದಾನವನ್ನು ಆಸ್ಪತ್ರೆಗೆ ಕರೆದುಕೊಂಡು ಹೋಗಿ 	ದನವನ್ನು ಹಾಸ್ಪಿಟಲ್ ಗೆ ಕರೆದುಕೊಂಡು ಹೋಗೋ	ದನವನ್ನು ಹಾಸ್ಪಿಟಲ್ ಗೆ ಕರೆದುಕೊಂಡು ಹೋಗಿ 	ದಾನವನ್ನು ಆಸ್ಪತ್ರೆಗೆ ಕರೆದುಕೊಂಡು ಹೋಗು 
ದೂರವಾಣಿ ಜಾಸ್ತಿ ಉಪಯೋಗಿಸಬೇಡಿ 	ಮೊಬೈಲ್ ಫೋನ್ ಅನ್ನು ಜಾಸ್ತಿ ಉಪಯೋಗಿಸಬೇಡ	ಮೊಬೈಲ್ ಫೋನ್ ಅನ್ನು ಜಾಸ್ತಿ ಉಪಯೋಗಿಸಬೇಡಿ 	ದೂರವಾಣಿ ಜಾಸ್ತಿ ಉಪಯೋಗಿಸಬೇಡ 
ದೇವರಪೂಜೆಗೆ ಹೂವನ್ನು ತಗೊಂಡು ಬನ್ನಿ 	ದೇವರ ಪೂಜೆಗೆ ಫ್ಲವರ್ ತಗೊಂಡ್ ಬಾ ಹೋಗು	ದೇವರ ಪೂಜೆಗೆ ಫ್ಲವರ್ ತೆಗದುಕೊಂಡು ಬನ್ನಿ 	ದೇವರಪೂಜೆಗೆ ಹೂವನ್ನು ತಗೊಂಡು ಬಾ 
ಯಾರು ಬಂದರು ನಿಯಂತ್ರಿಸಲು ಆಗುವುದಿಲ್ಲ 	ಯಾವನ್ ಬಂದ್ರು ಕಂಟ್ರೋಲ್ ಮಾಡಕ್ ಆಗಲ್ಲ	ಯಾರು ಬಂದರು ಕಂಟ್ರೋಲ್ ಮಾಡೋಕೆ ಆಗೋಲ್ಲ 	ಯಾವನು ಬಂದರು ನಿಯಂತ್ರಿಸಲು ಆಗುವುದಿಲ್ಲ 
ಅವರು ಆ ಹುಡುಗಿಯ ಮೇಲೆ ಕೋಪಗೊಂಡಿದ್ದರೆ 	ಅವನು ಆ ಹುಡುಗಿ ಮೇಲೆ ಸಿಕ್ಕಾಪಟೆ ಆಂಗ್ರಿ ಆಗಿದಾನೆ	ಅವರು ಆ ಹುಡುಗಿಯ ಮೇಲೆ ಸಿಕ್ಕಾಪಟೆ ಆಂಗ್ರಿ ಆಗಿದ್ದಾರೆ 	ಅವನು ಆ ಹುಡುಗಿಯ ಮೇಲೆ ಸಕ್ಕತು ಕೋಪಗೊಂಡಿದ್ದಾನೆ 
ಅವರು ವಾಹನದಲ್ಲೂ ಹತ್ತಿಕೊಂಡು ಓಡಿಹೋದರು  	ಅವನು ಕಾರ್ನಲ್ಲಿ ಹತ್ತಿಕೊಂಡು ಓಡಿ ಹೋದ	ಅವರು ಕಾರಿನಲ್ಲಿ  ಹತ್ತಿಕೊಂಡು ಓಡಿ ಹೋದರು 	ಅವನು ವಾಹನದಲ್ಲೂ ಹತ್ತಿಕೊಂಡು ಓಡಿಹೋದ 
ದ್ವಿಚಕ್ರ ವಾಹನ ಸವಾರರು  ಜಾಗೃತೆಯಿಂದ ಅಪಘಾತವನ್ನು ತಪ್ಪಿಸಿದರು.	ಬೈಕ್ ಸವಾರನು ಜಾಗೃತೆಯಿಂದ ಅಪಘಾತವನ್ನು ತಪ್ಪಿಸಿದ.	ಬೈಕ್ ಸವಾರರು ಜಾಗೃತೆಯಿಂದ ಅಪಘಾತವನ್ನು ತಪ್ಪಿಸಿದರು 	ದ್ವಿಚಕ್ರ ವಾಹನ ಸವಾರನು ಜಾಗೃತೆಯಿಂದ ಅಪಘಾತವನ್ನು ತಪ್ಪಿಸಿದ.
