Informal + Pure	Formal + Pure	Informal + Impure	Formal + Impure
आपण काय करू शकतो?	आपण कशाबद्दल प्रार्थना करू शकतो?	आपण काय करू शकतो?	आपण कशाबद्दल प्रे करू शकतो?
आता आपण काय करू शकतो ते पाहूया.	आता आपण आणखी काय करू शकतो ते पाहूया	लेट्स सी आता आपण काय करू शकतो.	लेट्स सी आता आपण आणखी काय करू शकतो.
आणि शेवटच्या वेळी कधी मिठी मारली होतीस?	आणि तू शेवटची कधी भेटली होतीस?	आणि लास्ट टाईम कधी मिठी मारली होतीस?	आणि तू लास्ट टाईम कधी भेटली होतीस?
या हिंसाचारात दोन जणांचा मृत्यू झाला, तर १५० लोक जखमी झाले.	या हिंसाचारात दोन जणांचा मृत्यू झाला असून सुमारे १५० जण जखमी झाले आहेत.	या हिंसाचारात दोन जणांची देअथ झाली, तर १५० लोक जखमी झाले.	या हिंसाचारात दोन जणांची देअथ झाली, तर 150 लोक जखमी झाले आहेत.
अंगावर कपडे नव्हते.	मृतदेहावर एकही कपडा नव्हता.	अंगावर क्लाथ नव्हते.	डेड़ बॉडीवर एकही कपडा नव्हता.
त्याच्या फंदात पडू नका.	तो त्यांच्याकडे ओढला जाणार नाही.	त्याच्या ट्राइपमध्ये पडू नका.	तो त्यांच्या ट्राइपमध्ये जाणार नाही.
खरं तर अजिबात फरक पडला नाही.	खरं तर, काहीही नव्हते.	सिरिअसली अजिबात फरक पडला नाही.	सिरिअसली, काहीही नव्हते.
आणि तेही १८५७ नंतर घडले, म्हणून त्याला इतिहास आहे.	आणि ते १८५७ नंतर घडले, म्हणून त्याला एक इतिहास आहे.	आणि तेही १८५७ नंतर घडले, म्हणून त्याला हिस्टरी आहे.	आणि ते १८५७ नंतर घडले, म्हणून त्याला एक हिस्टरी आहे.
			
			
			
			
			
			
			
			
ती पुस्तकांच्या प्रेमात पडली 			
चित्रापटात जे घडते ते खरोखर नास्त			
