Informal + Pure	Formal + Pure	Informal + impure	Formal + Impure
ঘর পরিষ্কারের একটি গুরুত্বপূর্ণ দিক হইতেছে আবর্জনা ফেলিয়া আসা।	ঘর পরিষ্কারের একটি গুরুত্বপূর্ণ দিক হইতেছে আবর্জনা ফেলিয়া আসা।	ঘর পরিষ্কারের একটি গুরুত্বপূর্ণ দিক হচ্ছে আবর্জনা ফেলা।	ঘর পরিষ্কারের একটি গুরুত্বপূর্ণ দিক হচ্ছে আবর্জনা ফেলা।
হোসেনী, তোমার বাড়ির জন্য আমি দুঃখিত।	জনাব হোসেনী, আপনার বাড়ির জন্য আমি দুঃখিত।	হোসেনী, তোমার বাড়ির জন্য আমি দুঃখিত।	জনাব হোসেনী, আপনার বাড়ির জন্য আমি দুঃখিত।
জার্মান বিপ্লবের পর এটি একটি প্রজাতন্ত্রে পরিণত হয়।	জার্মান বিপ্লবের পর এটি একটি প্রজাতন্ত্রে পরিণত হয়।	জার্মান বিপ্লবের পর এটি একটি প্রজাতন্ত্রে পরিণত হয়।	জার্মান বিপ্লবের পর এটি একটি প্রজাতন্ত্রে পরিণত হয়।
তখন চাকরিপ্রাপ্ত ব্যক্তিদের পাশাপাশি চাকরিপ্রত্যাশীরাও বিশ্ববিদ্যালয়ের প্রশাসন ভবনে ভিড় করিতে থাকে।	তখন চাকরিপ্রাপ্ত ব্যক্তিদের পাশাপাশি চাকরিপ্রত্যাশীরাও বিশ্ববিদ্যালয়ের প্রশাসন ভবনে ভিড় করিতে থাকেন।	তখন চাকরিওয়ালা লোকদের সাথে সাথে চাকরিচাওয়া লোকরাও বিশ্ববিদ্যালয়ের প্রশাসন বিল্ডিং এ ভিড় করতে থাকে। 	তখন চাকরিপ্রাপ্ত ব্যক্তিদের পাশাপাশি চাকরিপ্রত্যাশীরাও বিশ্ববিদ্যালয়ের প্রশাসন ভবনে ভিড় করতে থাকেন।
তবে, তাহার অবস্থানের জন্য নির্মিত সুড়ঙ্গটি এখনও খালি রইয়াছে।	তবে, উহার অবস্থানের জন্য নির্মিত সুড়ঙ্গটি এখনও খালি রইয়াছে।	তবে, তার অবস্থানের জন্য নির্মিত সুড়ঙ্গটি এখনও খালি রয়েছে।	তবে, উনার অবস্থানের জন্য নির্মিত সুড়ঙ্গটি এখনও খালি রয়েছে।
তাহাকে অ্যালিসের সাথে এক বছরের সফরে লইয়া যাওয়া হয়।	উহাকে অ্যালিসের সাথে এক বছরের সফরে লইয়া যাওয়া হয়।	তাকে অ্যালিসের সাথে এক বছরের ট্রিপে নিয়ে যাওয়া হয়।	উনাকে অ্যালিসের সাথে এক বছরের সফরে নিয়ে যাওয়া হয়।
তাহাদের পোস্ট অফিস বন্ধ।	উহাদের পোস্ট অফিস বন্ধ।	তাদের পোস্ট অফিস বন্ধ।	উনাদের পোস্ট অফিস বন্ধ।
তাহার আগের বিয়ে থেকে তাহার একটি সন্তান রইয়াছে।	উহার আগের বিয়ে থেকে উহার একটি সন্তান রইয়াছে।	তার আগের বিয়ে থেকে তার একটি সন্তান রয়েছে।	উনার আগের বিয়ে থেকে উনার একটি সন্তান রয়েছে।
তাহার পিতা ছিল সার্জন মেজর মরিস জোন্স।	তাঁহার পিতা ছিলেন সার্জন মেজর মরিস জোন্স।	তার বাবা ছিল সার্জন মেজর মরিস জোন্স।	তাঁর পিতা ছিলেন সার্জন মেজর মরিস জোন্স।
তাহারা আবেদনটি মঞ্জুর করিয়াছে এবং নির্বাচন বাতিল ঘোষণা করিয়াছে।	উহারা আবেদনটি মঞ্জুর করিয়াছেন এবং নির্বাচন বাতিল ঘোষণা করিয়াছেন।	তারা আবেদনটি মঞ্জুর করে এবং নির্বাচন বাতিল ঘোষণা করে।	উনারা আবেদনটি মঞ্জুর করেন এবং নির্বাচন বাতিল ঘোষণা করেন।
তাহারা তিনজন একসাথে প্রিন্সটনে উপস্থিত ছিল।	উহারা তিনজন একসাথে প্রিন্সটনে উপস্থিত ছিলেন।	তারা তিনজন একসাথে প্রিন্সটনে উপস্থিত ছিল। 	উনারা তিনজন একসাথে প্রিন্সটনে উপস্থিত ছিলেন।
তাহারা মাত্র কয়েকটি গান প্রকাশ করিয়াছে।	উহারা মাত্র কয়েকটি গান প্রকাশ করিয়াছেন।	তারা মাত্র কয়েকটি গান প্রকাশ করেছে।	উনারা মাত্র কয়েকটি গান প্রকাশ করেছেন। 
সে অনন্ত আনন্দ ও স্বর্গীয় সুখকে চিত্রিত করিয়াছে।	তিনি অনন্ত আনন্দ ও স্বর্গীয় সুখকে চিত্রিত করিয়াছেন।	সে ভীষণ আনন্দ ও সুখের ছবি আকে। 	তিনি অনন্ত আনন্দ ও স্বর্গীয় সুখকে চিত্রিত করেন।
সে অনেক অপরাধ ও থ্রিলার চলচ্চিত্র পরিচালনার জন্য বিখ্যাত।	তিনি অনেক অপরাধ ও থ্রিলার চলচ্চিত্র পরিচালনার জন্য বিখ্যাত।	সে অনেক অপরাধ ও থ্রিলার চলচ্চিত্র পরিচালনার জন্য বিখ্যাত।	তিনি অনেক অপরাধ ও থ্রিলার চলচ্চিত্র পরিচালনার জন্য বিখ্যাত।
সে কখনও পরিবারের সাথে খুব ঘনিষ্ঠভাবে জড়িত ছিল না।	তিনি কখনও পরিবারের সাথে খুব ঘনিষ্ঠভাবে জড়িত ছিলেন না।	সে কখনও পরিবারের সাথে খুব ঘনিষ্ঠভাবে জড়িত ছিল না।	তিনি কখনও পরিবারের সাথে খুব ঘনিষ্ঠভাবে জড়িত ছিলেন না।
সে বিভিন্ন বিদেশি ভাষা অধ্যয়নের জন্য তাঁর নিজস্ব অনন্য পদ্ধতি উদ্ভাবন করিয়াছে।	তিনি বিভিন্ন বিদেশি ভাষা অধ্যয়নের জন্য তাঁর নিজস্ব অনন্য পদ্ধতি উদ্ভাবন করিয়াছেন।	সে বিভিন্ন বিদেশি ভাষা পড়ার জন্য তার নিজস্ব অনন্য পদ্ধতি উদ্ভাবন করে।	তিনি বিভিন্ন বিদেশি ভাষা অধ্যয়নের জন্য তাঁর নিজস্ব অনন্য পদ্ধতি উদ্ভাবন করেন।
সে মং গোষ্ঠীর নবম রাজা।	তিনি মং গোষ্ঠীর নবম রাজা।	সে মং সার্কেলের নবম রাজা।	তিনি মং সার্কেলের নবম রাজা।
সে সব অভিযোগ অস্বীকার করিয়াছে। 	তিনি সব অভিযোগ অস্বীকার করিয়াছেন। 	সে সব অভিযোগ অস্বীকার করে।	তিনি সব অভিযোগ অস্বীকার করেন।
তুমি কি সেটা প্রমাণ করিতে পারিবে?	আপনি কি সেটা প্রমাণ করিতে পারিবেন?	তুমি কি সেটা প্রমাণ করতে পারবে?	আপনি কি সেটা প্রমাণ করতে পারবেন?
তোমরা কাপড় লইয়া যাও। 	আপনারা কাপড় লইয়া যান। 	তোমার কাপড় নিয়ে নাও।	আপনার কাপড় নিয়ে নিন।
প্রতি বছর চূড়ান্ত প্রতিযোগিতাকে গ্র্যান্ড প্রিক্স বলা হইয়া থাকে।	প্রতি বছর চূড়ান্ত প্রতিযোগিতাকে গ্র্যান্ড প্রিক্স বলা হইয়া থাকে।	প্রতি বছর চূড়ান্ত প্রতিযোগিতাকে গ্র্যান্ড প্রিক্স বলা হয়।	প্রতি বছর চূড়ান্ত প্রতিযোগিতাকে গ্র্যান্ড প্রিক্স বলা হয়।
প্রতিযোগিতায় রিলে দল সপ্তম স্থান দখল করিয়া নেয়।	প্রতিযোগিতায় রিলে দল সপ্তম স্থান দখল করিয়া নেয়।	প্রতিযোগিতায় রিলে দল সপ্তম স্থান দখল করে।	প্রতিযোগিতায় রিলে দল সপ্তম স্থান দখল করে।
বইটি জার্মান ভাষায় প্রকাশ করিয়াছে আরিমান ভের্লাগ।	বইটি জার্মান ভাষায় প্রকাশ করিয়াছেন আরিমান ভের্লাগ।	বইটি জার্মান ভাষায় প্রকাশ করে আরিমান ভের্লাগ।	বইটি জার্মান ভাষায় প্রকাশ করেন আরিমান ভের্লাগ।
মধ্যযুগে বণিক সংঘ গড়ে উঠিতে শুরু করে।	মধ্যযুগে বণিক সংঘ গড়ে উঠিতে শুরু করে।	মধ্যযুগে ব্যবসায়ী সংঘ গড়ে উঠতে শুরু করে।	মধ্যযুগে বণিক সংঘ গড়ে উঠতে শুরু করে।
মহিলা কলেজ মোড় থেকে সিএনজিচালিত অটোরিকশায় মুক্তাগাছা যাইতে মাথাপিছু ভাড়া কত?	মহিলা কলেজ মোড় থেকে সিএনজিচালিত অটোরিকশায় মুক্তাগাছা যাইতে মাথাপিছু ভাড়া কত?	মহিলা কলেজ মোড় থেকে সিএনজিচালিত অটোরিকশায় মুক্তাগাছা যেতে এক জনের ভাড়া কত?	মহিলা কলেজ মোড় থেকে সিএনজিচালিত অটোরিকশায় মুক্তাগাছা যেতে মাথাপিছু ভাড়া কত?
মামলায় সে তৃতীয় পক্ষ হিসেবে যোগ দিয়াছে।	মামলায় তিনি তৃতীয় পক্ষ হিসেবে যোগ দিয়াছেন।	মামলায় সে তৃতীয় পক্ষ হিসেবে যোগ দিয়েছে।	মামলায় তিনি তৃতীয় পক্ষ হিসেবে যোগ দিয়েছেন।
যখন কেউ নৈতিক হইয়া থাকে, তখন সে নিজের ইচ্ছাতেই তা করিয়া থাকে।	যখন কেউ নৈতিক হইয়া থাকেন, তখন তিনি নিজের ইচ্ছাতেই তা করিয়া থাকেন।	যখন কেউ নৈতিক হয়, তখন সে নিজের ইচ্ছাতেই তা করে থাকে।	যখন কেউ নৈতিক হয়, তখন তিনি নিজের ইচ্ছাতেই তা করে থাকেন।
যদি তাহাদের লইয়া যাওয়া হয়, তাহলে পুরো জিনিসটাই ধসিয়া পড়িবে।	যদি উহাদের লইয়া যাওয়া হয়, তাহলে পুরো জিনিসটাই ধসিয়া পড়িবে।	যদি তাদের নিয়ে যাওয়া হয়, তাহলে পুরো জিনিসটাই ধসে পড়বে।	যদি উনাদের নিয়ে যাওয়া হয়, তাহলে পুরো জিনিসটাই ধসে পড়বে।
রানা প্লাজার ধ্বংসস্তূপ থেকে কত দিনে উদ্ধার হয় বিস্ময়কন্যা রেশমা?	রানা প্লাজার ধ্বংসস্তূপ থেকে কত দিনে উদ্ধার হয় বিস্ময়কন্যা রেশমা?	রানা প্লাজার ধ্বংসস্তূপ থেকে কত দিনে উদ্ধার হয় বিস্ময়কন্যা রেশমা?	রানা প্লাজার ধ্বংসস্তূপ থেকে কত দিনে উদ্ধার হয় বিস্ময়কন্যা রেশমা?
শ্রমিকেরা মাছিমপুর এলাকার বলাকা ক্লাব সড়কের পাশে পাকা নালা নির্মাণের কাজ করিয়াছে। 	শ্রমিকেরা মাছিমপুর এলাকার বলাকা ক্লাব সড়কের পাশে পাকা নালা নির্মাণের কাজ করিয়াছেন। 	শ্রমিকেরা মাছিমপুর এলাকার বলাকা ক্লাব সড়কের পাশে পাকা নালা নির্মাণের কাজ করছে।	শ্রমিকেরা মাছিমপুর এলাকার বলাকা ক্লাব সড়কের পাশে পাকা নালা নির্মাণের কাজ করছেন।
সুর ও সংগীতায়োজন করিয়াছে কে?	সুর ও সংগীতায়োজন করিয়াছেন কে?	সুর ও সংগীতায়োজন করেছে কে?	সুর ও সংগীতায়োজন করেছেন কে?
সেখানে সে রাস্তা নির্মাণের নীতি প্রবর্তন করে।	সেখানে তিনি রাস্তা নির্মাণের নীতি প্রবর্তন করেন।	সেখানে সে রাস্তা নির্মাণের নীতি প্রবর্তন করে।	সেখানে তিনি রাস্তা নির্মাণের নীতি প্রবর্তন করেন।
স্ত্রী পাখি ডিম ফুটে বাচ্চা বের হইবার পর পরই খাবার খাইতে শুরু করে।	স্ত্রী পাখি ডিম ফুটে বাচ্চা বের হইবার পর পরই খাবার খাইতে শুরু করে।	স্ত্রী পাখি ডিম ফুটে বাচ্চা বের হওয়ার পর পরই খাবার খেতে শুরু করে।	স্ত্রী পাখি ডিম ফুটে বাচ্চা বের হওয়ার পর পরই খাবার খেতে শুরু করে।
কেন শিবিরের দুই কর্মীকে পিটুনি দিয়াছে এলাকাবাসী?	কেন শিবিরের দুই কর্মীকে পিটুনি দিয়াছেন এলাকাবাসী?	কেন শিবিরের দুই কর্মীকে পিটুনি দিয়েছে এলাকাবাসী?	কেন শিবিরের দুই কর্মীকে পিটুনি দিয়েছেন এলাকাবাসী?
কেনোনা যাকে তুমি সম্মান করিতে পারিবে না তার কাছে কতটুকুই বা শিখিতে পারিবে।	কেনোনা যাকে আপনি সম্মান করিতে পারিবেন না উহার কাছে কতটুকুই বা শিখিতে পারিবেন।	কেনোনা যাকে তুমি রেসপেক্ট করতে পারবে না তার কাছে কতটুকুই বা শিখতে পারবে।	কেনোনা যাকে আপনি রেসপেক্ট করতে পারবেন না উনার কাছে কতটুকুই বা শিখতে পারবেন।
